Time,Incident,Reflected,Transmitted,Front Displacement,Back Displacement,Front Force,Back Force,Strain Rate 3W,Strain Rate 1W,Engineering Strain 3W,Engineering Strain 1W,Engineering Stress 2W,Engineering Stress 1W,True Strain 3W,True Strain 1W,True Stress 2W,True Stress 1W,Inident SE,Transmitted SE,Reflected SE,Delta E,Delta K,Total E
0.039127573,-0.00023589449,0.00010063255,-5.1204195e-05,-0.6699958,-0.25363082,-1.927426,-0.72963834,-0.22221628,0.1567501,-7.585013e-05,5.4262997e-05,-0.06066995,-0.022966962,-7.5853e-05,5.4261527e-05,-0.06066535,-0.02296522,362.53,17.081242,65.97589,279.47284,277.12134,556.5942
0.03913503,-0.00023648643,0.00010063255,-5.1204195e-05,-0.67292786,-0.25363082,-1.935861,-0.72963834,-0.2226773,0.1567501,-7.750862e-05,5.5431683e-05,-0.06093546,-0.022966962,-7.751163e-05,5.5430144e-05,-0.060930736,-0.022965182,364.3517,17.081242,65.97589,281.29456,278.92773,560.2223
0.039142486,-0.0002370784,0.00010092851,-5.150016e-05,-0.67439413,-0.25509682,-1.9400791,-0.73385566,-0.22313835,0.1572111,-7.917056e-05,5.6602083e-05,-0.061068233,-0.023099713,-7.91737e-05,5.6600482e-05,-0.061063398,-0.023097884,366.17807,17.279274,66.36454,282.53427,280.157,562.6913
0.039149944,-0.00023737438,0.00010092851,-5.150016e-05,-0.6758601,-0.25509682,-1.9442964,-0.73385566,-0.22336887,0.1572111,-8.0835074e-05,5.7774203e-05,-0.06120098,-0.023099713,-8.083834e-05,5.7772537e-05,-0.061196033,-0.023097847,367.09293,17.279274,66.36454,283.44913,281.06415,564.5133
0.039157398,-0.00023796635,0.000101224476,-5.150016e-05,-0.6773264,-0.25509682,-1.9485145,-0.73385566,-0.2240604,0.1576721,-8.250303e-05,5.8948044e-05,-0.061333753,-0.023099713,-8.250643e-05,5.8946305e-05,-0.061328694,-0.023097808,368.92615,17.279274,66.754326,284.89252,282.49542,567.38794
0.039164852,-0.00023855829,0.000101224476,-5.1796174e-05,-0.68025845,-0.25656307,-1.9569494,-0.73807377,-0.22429088,0.1576721,-8.417442e-05,6.0123602e-05,-0.061599262,-0.023232488,-8.4177955e-05,6.0121794e-05,-0.061594076,-0.023230532,370.76382,17.478481,66.754326,286.531,284.12015,570.6511
0.03917231,-0.00023915026,0.00010152044,-5.1796174e-05,-0.6817247,-0.25656307,-1.9611675,-0.73807377,-0.22498243,0.1581331,-8.584924e-05,6.1300874e-05,-0.061732035,-0.023232488,-8.5852924e-05,6.1299e-05,-0.061726734,-0.023230493,372.6062,17.478481,67.14525,287.98245,285.55936,573.5418
0.039179765,-0.00023974219,0.000101816455,-5.209214e-05,-0.6831904,-0.25802907,-1.9653839,-0.74229115,-0.22544348,0.1585942,-8.7528366e-05,6.2481595e-05,-0.061864756,-0.023365239,-8.753219e-05,6.247964e-05,-0.06185934,-0.023363193,374.45294,17.678797,67.53739,289.23676,286.8031,576.03986
0.03918722,-0.00024033418,0.000101816455,-5.209214e-05,-0.6861228,-0.25802907,-1.9738196,-0.74229115,-0.22590452,0.1585942,-8.9210924e-05,6.3664025e-05,-0.06213029,-0.023365239,-8.9214904e-05,6.3661995e-05,-0.062124748,-0.023363154,376.30447,17.678797,67.53739,291.0883,288.63907,579.72736
0.039194677,-0.00024063015,0.00010211242,-5.209214e-05,-0.6861228,-0.25802907,-1.9738196,-0.74229115,-0.22636555,0.15905522,-9.089692e-05,6.484817e-05,-0.06213029,-0.023365239,-9.0901056e-05,6.484607e-05,-0.062124643,-0.023363115,377.2319,17.678797,67.9306,291.6225,289.16876,580.79126
0.03920213,-0.00024122211,0.00010211242,-5.209214e-05,-0.6890549,-0.25802907,-1.9822547,-0.74229115,-0.22682656,0.15905522,-9.258636e-05,6.6034045e-05,-0.062395807,-0.023365239,-9.259064e-05,6.603186e-05,-0.06239003,-0.023363076,379.0902,17.678797,67.9306,293.4808,291.01144,584.49225
