Time (ms),SS316 Alloy True Strain 1W,SS316 Alloy True Strain 3W,Al 356 Alloy True Strain 1W,Al 356 Alloy True Strain 3W,SS 316 - Al 356 Composite True Strain 1W,SS 316 - Al 356 Composite True Strain 3W
0.019953066,-0.0036683665,0.0018378089,-0.0027461457,0.0020791434,-0.003122219,0.001985135
0.01996809,-0.003686301,0.0018468854,-0.0027561316,0.0020878636,-0.0031342213,0.0019945116
0.019983115,-0.0037043537,0.0018559024,-0.002766118,0.0020965247,-0.0031463425,0.0020039477
0.01999814,-0.0037224067,0.0018649792,-0.0027761038,0.0021052451,-0.0031583447,0.0020133841
0.020013165,-0.0037404587,0.0018740561,-0.0027859707,0.0021139658,-0.0031703468,0.0020228208
0.02002819,-0.00375863,0.0018831927,-0.0027959563,0.0021226269,-0.0031823488,0.0020322574
0.020043215,-0.0037766811,0.0018923294,-0.002805823,0.0021313475,-0.0031943505,0.0020416942
0.02005824,-0.0037949707,0.0019014663,-0.0028158084,0.0021400684,-0.0032063527,0.002051191
0.020073265,-0.0038131399,0.0019106033,-0.0028256748,0.0021487894,-0.003218354,0.0020606874
0.020088289,-0.0038314285,0.0019197402,-0.0028355413,0.0021575105,-0.0032303552,0.002070184
0.020103315,-0.0038495974,0.001928937,-0.0028455264,0.0021662316,-0.003242357,0.0020797406
